Date,Value,Category,SubCategory,Source
1991,-4.4258778367393,World Bank - Sri Lanka Data,Methane emissions (Pct. change from 1990),world_bank
1992,-5.01906358291139,World Bank - Sri Lanka Data,Methane emissions (Pct. change from 1990),world_bank
1993,-2.29197245116857,World Bank - Sri Lanka Data,Methane emissions (Pct. change from 1990),world_bank
1994,1.83687826230448,World Bank - Sri Lanka Data,Methane emissions (Pct. change from 1990),world_bank
1995,0.798151831232996,World Bank - Sri Lanka Data,Methane emissions (Pct. change from 1990),world_bank
1996,-12.5993347287239,World Bank - Sri Lanka Data,Methane emissions (Pct. change from 1990),world_bank
1997,-14.5297504798465,World Bank - Sri Lanka Data,Methane emissions (Pct. change from 1990),world_bank
1998,-19.0971070252994,World Bank - Sri Lanka Data,Methane emissions (Pct. change from 1990),world_bank
1999,-14.0594575346749,World Bank - Sri Lanka Data,Methane emissions (Pct. change from 1990),world_bank
2000,-16.5709868769595,World Bank - Sri Lanka Data,Methane emissions (Pct. change from 1990),world_bank
2001,-19.6655405111993,World Bank - Sri Lanka Data,Methane emissions (Pct. change from 1990),world_bank
2002,-17.1165788033802,World Bank - Sri Lanka Data,Methane emissions (Pct. change from 1990),world_bank
2003,-12.4021851469068,World Bank - Sri Lanka Data,Methane emissions (Pct. change from 1990),world_bank
2004,-20.8504355529308,World Bank - Sri Lanka Data,Methane emissions (Pct. change from 1990),world_bank
2005,-10.6139429047863,World Bank - Sri Lanka Data,Methane emissions (Pct. change from 1990),world_bank
2006,-10.0129406553704,World Bank - Sri Lanka Data,Methane emissions (Pct. change from 1990),world_bank
2007,-4.36681981223023,World Bank - Sri Lanka Data,Methane emissions (Pct. change from 1990),world_bank
2008,-1.41305008641579,World Bank - Sri Lanka Data,Methane emissions (Pct. change from 1990),world_bank
2009,-4.69163894703017,World Bank - Sri Lanka Data,Methane emissions (Pct. change from 1990),world_bank
2010,1.01440842097948,World Bank - Sri Lanka Data,Methane emissions (Pct. change from 1990),world_bank
2011,2.02455250518929,World Bank - Sri Lanka Data,Methane emissions (Pct. change from 1990),world_bank
2012,3.03469658939908,World Bank - Sri Lanka Data,Methane emissions (Pct. change from 1990),world_bank
