Date,Value,Category,SubCategory,Source
1990,17847.64101,World Bank - Sri Lanka Data,Methane emissions (kt of CO2 equivalent),world_bank
1991,17603.17127,World Bank - Sri Lanka Data,Methane emissions (kt of CO2 equivalent),world_bank
1992,18014.71403,World Bank - Sri Lanka Data,Methane emissions (kt of CO2 equivalent),world_bank
1993,18385.6068,World Bank - Sri Lanka Data,Methane emissions (kt of CO2 equivalent),world_bank
1994,18419.0675,World Bank - Sri Lanka Data,Methane emissions (kt of CO2 equivalent),world_bank
1995,18530.73,World Bank - Sri Lanka Data,Methane emissions (kt of CO2 equivalent),world_bank
1996,15893.7975,World Bank - Sri Lanka Data,Methane emissions (kt of CO2 equivalent),world_bank
1997,13904.425,World Bank - Sri Lanka Data,Methane emissions (kt of CO2 equivalent),world_bank
1998,11124.75,World Bank - Sri Lanka Data,Methane emissions (kt of CO2 equivalent),world_bank
1999,9437.9125,World Bank - Sri Lanka Data,Methane emissions (kt of CO2 equivalent),world_bank
2000,7299.0875,World Bank - Sri Lanka Data,Methane emissions (kt of CO2 equivalent),world_bank
2001,7134.742837,World Bank - Sri Lanka Data,Methane emissions (kt of CO2 equivalent),world_bank
2002,7234.340674,World Bank - Sri Lanka Data,Methane emissions (kt of CO2 equivalent),world_bank
2003,7561.38601,World Bank - Sri Lanka Data,Methane emissions (kt of CO2 equivalent),world_bank
2004,7151.883847,World Bank - Sri Lanka Data,Methane emissions (kt of CO2 equivalent),world_bank
2005,7771.876684,World Bank - Sri Lanka Data,Methane emissions (kt of CO2 equivalent),world_bank
2006,7803.745283,World Bank - Sri Lanka Data,Methane emissions (kt of CO2 equivalent),world_bank
2007,7615.038881,World Bank - Sri Lanka Data,Methane emissions (kt of CO2 equivalent),world_bank
2008,8288.37248,World Bank - Sri Lanka Data,Methane emissions (kt of CO2 equivalent),world_bank
2009,8108.776078,World Bank - Sri Lanka Data,Methane emissions (kt of CO2 equivalent),world_bank
2010,8592.792176,World Bank - Sri Lanka Data,Methane emissions (kt of CO2 equivalent),world_bank
2011,8492.705699,World Bank - Sri Lanka Data,Methane emissions (kt of CO2 equivalent),world_bank
2012,8505.229222,World Bank - Sri Lanka Data,Methane emissions (kt of CO2 equivalent),world_bank
2013,8734.342745,World Bank - Sri Lanka Data,Methane emissions (kt of CO2 equivalent),world_bank
2014,7783.721268,World Bank - Sri Lanka Data,Methane emissions (kt of CO2 equivalent),world_bank
2015,8744.33229,World Bank - Sri Lanka Data,Methane emissions (kt of CO2 equivalent),world_bank
2016,8264.895067,World Bank - Sri Lanka Data,Methane emissions (kt of CO2 equivalent),world_bank
2017,7382.885344,World Bank - Sri Lanka Data,Methane emissions (kt of CO2 equivalent),world_bank
2018,8211.295621,World Bank - Sri Lanka Data,Methane emissions (kt of CO2 equivalent),world_bank
2019,7986.473398,World Bank - Sri Lanka Data,Methane emissions (kt of CO2 equivalent),world_bank
2020,8377.671174,World Bank - Sri Lanka Data,Methane emissions (kt of CO2 equivalent),world_bank
