Date,Value,Category,SubCategory,Source
1970,0.105,World Bank - Sri Lanka Data,Nitrous oxide (N2O) emissions from Building (Energy) (Mt CO2e),world_bank
1971,0.105,World Bank - Sri Lanka Data,Nitrous oxide (N2O) emissions from Building (Energy) (Mt CO2e),world_bank
1972,0.105,World Bank - Sri Lanka Data,Nitrous oxide (N2O) emissions from Building (Energy) (Mt CO2e),world_bank
1973,0.1069,World Bank - Sri Lanka Data,Nitrous oxide (N2O) emissions from Building (Energy) (Mt CO2e),world_bank
1974,0.108,World Bank - Sri Lanka Data,Nitrous oxide (N2O) emissions from Building (Energy) (Mt CO2e),world_bank
1975,0.1165,World Bank - Sri Lanka Data,Nitrous oxide (N2O) emissions from Building (Energy) (Mt CO2e),world_bank
1976,0.1183,World Bank - Sri Lanka Data,Nitrous oxide (N2O) emissions from Building (Energy) (Mt CO2e),world_bank
1977,0.1134,World Bank - Sri Lanka Data,Nitrous oxide (N2O) emissions from Building (Energy) (Mt CO2e),world_bank
1978,0.1154,World Bank - Sri Lanka Data,Nitrous oxide (N2O) emissions from Building (Energy) (Mt CO2e),world_bank
1979,0.1177,World Bank - Sri Lanka Data,Nitrous oxide (N2O) emissions from Building (Energy) (Mt CO2e),world_bank
1980,0.1195,World Bank - Sri Lanka Data,Nitrous oxide (N2O) emissions from Building (Energy) (Mt CO2e),world_bank
1981,0.1216,World Bank - Sri Lanka Data,Nitrous oxide (N2O) emissions from Building (Energy) (Mt CO2e),world_bank
1982,0.1261,World Bank - Sri Lanka Data,Nitrous oxide (N2O) emissions from Building (Energy) (Mt CO2e),world_bank
1983,0.1268,World Bank - Sri Lanka Data,Nitrous oxide (N2O) emissions from Building (Energy) (Mt CO2e),world_bank
1984,0.1359,World Bank - Sri Lanka Data,Nitrous oxide (N2O) emissions from Building (Energy) (Mt CO2e),world_bank
1985,0.1379,World Bank - Sri Lanka Data,Nitrous oxide (N2O) emissions from Building (Energy) (Mt CO2e),world_bank
1986,0.1401,World Bank - Sri Lanka Data,Nitrous oxide (N2O) emissions from Building (Energy) (Mt CO2e),world_bank
1987,0.1443,World Bank - Sri Lanka Data,Nitrous oxide (N2O) emissions from Building (Energy) (Mt CO2e),world_bank
1988,0.1497,World Bank - Sri Lanka Data,Nitrous oxide (N2O) emissions from Building (Energy) (Mt CO2e),world_bank
1989,0.151,World Bank - Sri Lanka Data,Nitrous oxide (N2O) emissions from Building (Energy) (Mt CO2e),world_bank
1990,0.1482,World Bank - Sri Lanka Data,Nitrous oxide (N2O) emissions from Building (Energy) (Mt CO2e),world_bank
1991,0.1496,World Bank - Sri Lanka Data,Nitrous oxide (N2O) emissions from Building (Energy) (Mt CO2e),world_bank
1992,0.1518,World Bank - Sri Lanka Data,Nitrous oxide (N2O) emissions from Building (Energy) (Mt CO2e),world_bank
1993,0.1498,World Bank - Sri Lanka Data,Nitrous oxide (N2O) emissions from Building (Energy) (Mt CO2e),world_bank
1994,0.1479,World Bank - Sri Lanka Data,Nitrous oxide (N2O) emissions from Building (Energy) (Mt CO2e),world_bank
1995,0.1455,World Bank - Sri Lanka Data,Nitrous oxide (N2O) emissions from Building (Energy) (Mt CO2e),world_bank
1996,0.1474,World Bank - Sri Lanka Data,Nitrous oxide (N2O) emissions from Building (Energy) (Mt CO2e),world_bank
1997,0.1489,World Bank - Sri Lanka Data,Nitrous oxide (N2O) emissions from Building (Energy) (Mt CO2e),world_bank
1998,0.1469,World Bank - Sri Lanka Data,Nitrous oxide (N2O) emissions from Building (Energy) (Mt CO2e),world_bank
1999,0.144,World Bank - Sri Lanka Data,Nitrous oxide (N2O) emissions from Building (Energy) (Mt CO2e),world_bank
