Date,Value,Category,SubCategory,Source
1970,0.0891,World Bank - Sri Lanka Data,Nitrous oxide (N2O) emissions from Industrial Processes (Mt CO2e),world_bank
1971,0.0889,World Bank - Sri Lanka Data,Nitrous oxide (N2O) emissions from Industrial Processes (Mt CO2e),world_bank
1972,0.094,World Bank - Sri Lanka Data,Nitrous oxide (N2O) emissions from Industrial Processes (Mt CO2e),world_bank
1973,0.0949,World Bank - Sri Lanka Data,Nitrous oxide (N2O) emissions from Industrial Processes (Mt CO2e),world_bank
1974,0.0907,World Bank - Sri Lanka Data,Nitrous oxide (N2O) emissions from Industrial Processes (Mt CO2e),world_bank
1975,0.093,World Bank - Sri Lanka Data,Nitrous oxide (N2O) emissions from Industrial Processes (Mt CO2e),world_bank
1976,0.0945,World Bank - Sri Lanka Data,Nitrous oxide (N2O) emissions from Industrial Processes (Mt CO2e),world_bank
1977,0.0937,World Bank - Sri Lanka Data,Nitrous oxide (N2O) emissions from Industrial Processes (Mt CO2e),world_bank
1978,0.0997,World Bank - Sri Lanka Data,Nitrous oxide (N2O) emissions from Industrial Processes (Mt CO2e),world_bank
1979,0.1052,World Bank - Sri Lanka Data,Nitrous oxide (N2O) emissions from Industrial Processes (Mt CO2e),world_bank
1980,0.1058,World Bank - Sri Lanka Data,Nitrous oxide (N2O) emissions from Industrial Processes (Mt CO2e),world_bank
1981,0.1086,World Bank - Sri Lanka Data,Nitrous oxide (N2O) emissions from Industrial Processes (Mt CO2e),world_bank
1982,0.1191,World Bank - Sri Lanka Data,Nitrous oxide (N2O) emissions from Industrial Processes (Mt CO2e),world_bank
1983,0.1231,World Bank - Sri Lanka Data,Nitrous oxide (N2O) emissions from Industrial Processes (Mt CO2e),world_bank
1984,0.1226,World Bank - Sri Lanka Data,Nitrous oxide (N2O) emissions from Industrial Processes (Mt CO2e),world_bank
1985,0.1197,World Bank - Sri Lanka Data,Nitrous oxide (N2O) emissions from Industrial Processes (Mt CO2e),world_bank
1986,0.1225,World Bank - Sri Lanka Data,Nitrous oxide (N2O) emissions from Industrial Processes (Mt CO2e),world_bank
1987,0.1304,World Bank - Sri Lanka Data,Nitrous oxide (N2O) emissions from Industrial Processes (Mt CO2e),world_bank
1988,0.13,World Bank - Sri Lanka Data,Nitrous oxide (N2O) emissions from Industrial Processes (Mt CO2e),world_bank
1989,0.1294,World Bank - Sri Lanka Data,Nitrous oxide (N2O) emissions from Industrial Processes (Mt CO2e),world_bank
1990,0.1274,World Bank - Sri Lanka Data,Nitrous oxide (N2O) emissions from Industrial Processes (Mt CO2e),world_bank
1991,0.1298,World Bank - Sri Lanka Data,Nitrous oxide (N2O) emissions from Industrial Processes (Mt CO2e),world_bank
1992,0.1445,World Bank - Sri Lanka Data,Nitrous oxide (N2O) emissions from Industrial Processes (Mt CO2e),world_bank
1993,0.1442,World Bank - Sri Lanka Data,Nitrous oxide (N2O) emissions from Industrial Processes (Mt CO2e),world_bank
1994,0.1401,World Bank - Sri Lanka Data,Nitrous oxide (N2O) emissions from Industrial Processes (Mt CO2e),world_bank
1995,0.1424,World Bank - Sri Lanka Data,Nitrous oxide (N2O) emissions from Industrial Processes (Mt CO2e),world_bank
1996,0.1804,World Bank - Sri Lanka Data,Nitrous oxide (N2O) emissions from Industrial Processes (Mt CO2e),world_bank
1997,0.1833,World Bank - Sri Lanka Data,Nitrous oxide (N2O) emissions from Industrial Processes (Mt CO2e),world_bank
1998,0.1787,World Bank - Sri Lanka Data,Nitrous oxide (N2O) emissions from Industrial Processes (Mt CO2e),world_bank
1999,0.1942,World Bank - Sri Lanka Data,Nitrous oxide (N2O) emissions from Industrial Processes (Mt CO2e),world_bank
2000,0.2226,World Bank - Sri Lanka Data,Nitrous oxide (N2O) emissions from Industrial Processes (Mt CO2e),world_bank
2001,0.212,World Bank - Sri Lanka Data,Nitrous oxide (N2O) emissions from Industrial Processes (Mt CO2e),world_bank
2002,0.2188,World Bank - Sri Lanka Data,Nitrous oxide (N2O) emissions from Industrial Processes (Mt CO2e),world_bank
2003,0.2275,World Bank - Sri Lanka Data,Nitrous oxide (N2O) emissions from Industrial Processes (Mt CO2e),world_bank
2004,0.2384,World Bank - Sri Lanka Data,Nitrous oxide (N2O) emissions from Industrial Processes (Mt CO2e),world_bank
2005,0.2475,World Bank - Sri Lanka Data,Nitrous oxide (N2O) emissions from Industrial Processes (Mt CO2e),world_bank
2006,0.2281,World Bank - Sri Lanka Data,Nitrous oxide (N2O) emissions from Industrial Processes (Mt CO2e),world_bank
2007,0.2432,World Bank - Sri Lanka Data,Nitrous oxide (N2O) emissions from Industrial Processes (Mt CO2e),world_bank
2008,0.2317,World Bank - Sri Lanka Data,Nitrous oxide (N2O) emissions from Industrial Processes (Mt CO2e),world_bank
2009,0.2261,World Bank - Sri Lanka Data,Nitrous oxide (N2O) emissions from Industrial Processes (Mt CO2e),world_bank
2010,0.2405,World Bank - Sri Lanka Data,Nitrous oxide (N2O) emissions from Industrial Processes (Mt CO2e),world_bank
2011,0.2411,World Bank - Sri Lanka Data,Nitrous oxide (N2O) emissions from Industrial Processes (Mt CO2e),world_bank
2012,0.2475,World Bank - Sri Lanka Data,Nitrous oxide (N2O) emissions from Industrial Processes (Mt CO2e),world_bank
2013,0.2118,World Bank - Sri Lanka Data,Nitrous oxide (N2O) emissions from Industrial Processes (Mt CO2e),world_bank
2014,0.2315,World Bank - Sri Lanka Data,Nitrous oxide (N2O) emissions from Industrial Processes (Mt CO2e),world_bank
2015,0.2231,World Bank - Sri Lanka Data,Nitrous oxide (N2O) emissions from Industrial Processes (Mt CO2e),world_bank
2016,0.2457,World Bank - Sri Lanka Data,Nitrous oxide (N2O) emissions from Industrial Processes (Mt CO2e),world_bank
2017,0.2371,World Bank - Sri Lanka Data,Nitrous oxide (N2O) emissions from Industrial Processes (Mt CO2e),world_bank
2018,0.224,World Bank - Sri Lanka Data,Nitrous oxide (N2O) emissions from Industrial Processes (Mt CO2e),world_bank
2019,0.241,World Bank - Sri Lanka Data,Nitrous oxide (N2O) emissions from Industrial Processes (Mt CO2e),world_bank
2020,0.2273,World Bank - Sri Lanka Data,Nitrous oxide (N2O) emissions from Industrial Processes (Mt CO2e),world_bank
2021,0.2265,World Bank - Sri Lanka Data,Nitrous oxide (N2O) emissions from Industrial Processes (Mt CO2e),world_bank
2022,0.2078,World Bank - Sri Lanka Data,Nitrous oxide (N2O) emissions from Industrial Processes (Mt CO2e),world_bank
2023,0.2129,World Bank - Sri Lanka Data,Nitrous oxide (N2O) emissions from Industrial Processes (Mt CO2e),world_bank
