Date,Value,Category,SubCategory,Source
1970,0.0001,World Bank - Sri Lanka Data,Nitrous oxide (N2O) emissions from Power Industry (Energy) (Mt CO2e),world_bank
1971,0.0001,World Bank - Sri Lanka Data,Nitrous oxide (N2O) emissions from Power Industry (Energy) (Mt CO2e),world_bank
1972,0.0002,World Bank - Sri Lanka Data,Nitrous oxide (N2O) emissions from Power Industry (Energy) (Mt CO2e),world_bank
1973,0.0004,World Bank - Sri Lanka Data,Nitrous oxide (N2O) emissions from Power Industry (Energy) (Mt CO2e),world_bank
1974,0.0001,World Bank - Sri Lanka Data,Nitrous oxide (N2O) emissions from Power Industry (Energy) (Mt CO2e),world_bank
1975,0.0001,World Bank - Sri Lanka Data,Nitrous oxide (N2O) emissions from Power Industry (Energy) (Mt CO2e),world_bank
1976,0.0001,World Bank - Sri Lanka Data,Nitrous oxide (N2O) emissions from Power Industry (Energy) (Mt CO2e),world_bank
1977,0.0001,World Bank - Sri Lanka Data,Nitrous oxide (N2O) emissions from Power Industry (Energy) (Mt CO2e),world_bank
1978,0,World Bank - Sri Lanka Data,Nitrous oxide (N2O) emissions from Power Industry (Energy) (Mt CO2e),world_bank
1979,0.0002,World Bank - Sri Lanka Data,Nitrous oxide (N2O) emissions from Power Industry (Energy) (Mt CO2e),world_bank
1980,0.0006,World Bank - Sri Lanka Data,Nitrous oxide (N2O) emissions from Power Industry (Energy) (Mt CO2e),world_bank
1981,0.0006,World Bank - Sri Lanka Data,Nitrous oxide (N2O) emissions from Power Industry (Energy) (Mt CO2e),world_bank
1982,0.001,World Bank - Sri Lanka Data,Nitrous oxide (N2O) emissions from Power Industry (Energy) (Mt CO2e),world_bank
1983,0.0019,World Bank - Sri Lanka Data,Nitrous oxide (N2O) emissions from Power Industry (Energy) (Mt CO2e),world_bank
1984,0.0004,World Bank - Sri Lanka Data,Nitrous oxide (N2O) emissions from Power Industry (Energy) (Mt CO2e),world_bank
1985,0.0001,World Bank - Sri Lanka Data,Nitrous oxide (N2O) emissions from Power Industry (Energy) (Mt CO2e),world_bank
1986,0,World Bank - Sri Lanka Data,Nitrous oxide (N2O) emissions from Power Industry (Energy) (Mt CO2e),world_bank
1987,0.001,World Bank - Sri Lanka Data,Nitrous oxide (N2O) emissions from Power Industry (Energy) (Mt CO2e),world_bank
