Date,Value,Category,SubCategory,Source
1970,0.0957,World Bank - Sri Lanka Data,Nitrous oxide (N2O) emissions from Waste (Mt CO2e),world_bank
1971,0.0915,World Bank - Sri Lanka Data,Nitrous oxide (N2O) emissions from Waste (Mt CO2e),world_bank
1972,0.0976,World Bank - Sri Lanka Data,Nitrous oxide (N2O) emissions from Waste (Mt CO2e),world_bank
1973,0.0952,World Bank - Sri Lanka Data,Nitrous oxide (N2O) emissions from Waste (Mt CO2e),world_bank
1974,0.097,World Bank - Sri Lanka Data,Nitrous oxide (N2O) emissions from Waste (Mt CO2e),world_bank
1975,0.101,World Bank - Sri Lanka Data,Nitrous oxide (N2O) emissions from Waste (Mt CO2e),world_bank
1976,0.0982,World Bank - Sri Lanka Data,Nitrous oxide (N2O) emissions from Waste (Mt CO2e),world_bank
1977,0.1092,World Bank - Sri Lanka Data,Nitrous oxide (N2O) emissions from Waste (Mt CO2e),world_bank
1978,0.1133,World Bank - Sri Lanka Data,Nitrous oxide (N2O) emissions from Waste (Mt CO2e),world_bank
1979,0.1127,World Bank - Sri Lanka Data,Nitrous oxide (N2O) emissions from Waste (Mt CO2e),world_bank
1980,0.112,World Bank - Sri Lanka Data,Nitrous oxide (N2O) emissions from Waste (Mt CO2e),world_bank
1981,0.1138,World Bank - Sri Lanka Data,Nitrous oxide (N2O) emissions from Waste (Mt CO2e),world_bank
1982,0.1205,World Bank - Sri Lanka Data,Nitrous oxide (N2O) emissions from Waste (Mt CO2e),world_bank
1983,0.1223,World Bank - Sri Lanka Data,Nitrous oxide (N2O) emissions from Waste (Mt CO2e),world_bank
1984,0.1268,World Bank - Sri Lanka Data,Nitrous oxide (N2O) emissions from Waste (Mt CO2e),world_bank
1985,0.1261,World Bank - Sri Lanka Data,Nitrous oxide (N2O) emissions from Waste (Mt CO2e),world_bank
1986,0.1282,World Bank - Sri Lanka Data,Nitrous oxide (N2O) emissions from Waste (Mt CO2e),world_bank
1987,0.133,World Bank - Sri Lanka Data,Nitrous oxide (N2O) emissions from Waste (Mt CO2e),world_bank
1988,0.1352,World Bank - Sri Lanka Data,Nitrous oxide (N2O) emissions from Waste (Mt CO2e),world_bank
1989,0.1317,World Bank - Sri Lanka Data,Nitrous oxide (N2O) emissions from Waste (Mt CO2e),world_bank
1990,0.1395,World Bank - Sri Lanka Data,Nitrous oxide (N2O) emissions from Waste (Mt CO2e),world_bank
1991,0.1412,World Bank - Sri Lanka Data,Nitrous oxide (N2O) emissions from Waste (Mt CO2e),world_bank
1992,0.1432,World Bank - Sri Lanka Data,Nitrous oxide (N2O) emissions from Waste (Mt CO2e),world_bank
1993,0.1473,World Bank - Sri Lanka Data,Nitrous oxide (N2O) emissions from Waste (Mt CO2e),world_bank
1994,0.1517,World Bank - Sri Lanka Data,Nitrous oxide (N2O) emissions from Waste (Mt CO2e),world_bank
1995,0.156,World Bank - Sri Lanka Data,Nitrous oxide (N2O) emissions from Waste (Mt CO2e),world_bank
1996,0.1575,World Bank - Sri Lanka Data,Nitrous oxide (N2O) emissions from Waste (Mt CO2e),world_bank
1997,0.1642,World Bank - Sri Lanka Data,Nitrous oxide (N2O) emissions from Waste (Mt CO2e),world_bank
1998,0.165,World Bank - Sri Lanka Data,Nitrous oxide (N2O) emissions from Waste (Mt CO2e),world_bank
1999,0.1659,World Bank - Sri Lanka Data,Nitrous oxide (N2O) emissions from Waste (Mt CO2e),world_bank
2000,0.1647,World Bank - Sri Lanka Data,Nitrous oxide (N2O) emissions from Waste (Mt CO2e),world_bank
2001,0.1658,World Bank - Sri Lanka Data,Nitrous oxide (N2O) emissions from Waste (Mt CO2e),world_bank
2002,0.1703,World Bank - Sri Lanka Data,Nitrous oxide (N2O) emissions from Waste (Mt CO2e),world_bank
2003,0.173,World Bank - Sri Lanka Data,Nitrous oxide (N2O) emissions from Waste (Mt CO2e),world_bank
2004,0.1731,World Bank - Sri Lanka Data,Nitrous oxide (N2O) emissions from Waste (Mt CO2e),world_bank
2005,0.1745,World Bank - Sri Lanka Data,Nitrous oxide (N2O) emissions from Waste (Mt CO2e),world_bank
2006,0.1781,World Bank - Sri Lanka Data,Nitrous oxide (N2O) emissions from Waste (Mt CO2e),world_bank
