Date,Value,Category,SubCategory,Source
1970,1.0812,World Bank - Sri Lanka Data,Nitrous oxide (N2O) emissions (total) excluding LULUCF (Mt CO2e),world_bank
1971,1.0807,World Bank - Sri Lanka Data,Nitrous oxide (N2O) emissions (total) excluding LULUCF (Mt CO2e),world_bank
1972,1.1049,World Bank - Sri Lanka Data,Nitrous oxide (N2O) emissions (total) excluding LULUCF (Mt CO2e),world_bank
1973,1.1096,World Bank - Sri Lanka Data,Nitrous oxide (N2O) emissions (total) excluding LULUCF (Mt CO2e),world_bank
1974,1.2415,World Bank - Sri Lanka Data,Nitrous oxide (N2O) emissions (total) excluding LULUCF (Mt CO2e),world_bank
1975,1.0746,World Bank - Sri Lanka Data,Nitrous oxide (N2O) emissions (total) excluding LULUCF (Mt CO2e),world_bank
1976,1.1676,World Bank - Sri Lanka Data,Nitrous oxide (N2O) emissions (total) excluding LULUCF (Mt CO2e),world_bank
1977,1.2274,World Bank - Sri Lanka Data,Nitrous oxide (N2O) emissions (total) excluding LULUCF (Mt CO2e),world_bank
1978,1.2997,World Bank - Sri Lanka Data,Nitrous oxide (N2O) emissions (total) excluding LULUCF (Mt CO2e),world_bank
1979,1.3206,World Bank - Sri Lanka Data,Nitrous oxide (N2O) emissions (total) excluding LULUCF (Mt CO2e),world_bank
1980,1.4036,World Bank - Sri Lanka Data,Nitrous oxide (N2O) emissions (total) excluding LULUCF (Mt CO2e),world_bank
1981,1.3514,World Bank - Sri Lanka Data,Nitrous oxide (N2O) emissions (total) excluding LULUCF (Mt CO2e),world_bank
1982,1.3866,World Bank - Sri Lanka Data,Nitrous oxide (N2O) emissions (total) excluding LULUCF (Mt CO2e),world_bank
1983,1.4189,World Bank - Sri Lanka Data,Nitrous oxide (N2O) emissions (total) excluding LULUCF (Mt CO2e),world_bank
1984,1.5292,World Bank - Sri Lanka Data,Nitrous oxide (N2O) emissions (total) excluding LULUCF (Mt CO2e),world_bank
1985,1.5706,World Bank - Sri Lanka Data,Nitrous oxide (N2O) emissions (total) excluding LULUCF (Mt CO2e),world_bank
1986,1.5698,World Bank - Sri Lanka Data,Nitrous oxide (N2O) emissions (total) excluding LULUCF (Mt CO2e),world_bank
1987,1.6283,World Bank - Sri Lanka Data,Nitrous oxide (N2O) emissions (total) excluding LULUCF (Mt CO2e),world_bank
1988,1.632,World Bank - Sri Lanka Data,Nitrous oxide (N2O) emissions (total) excluding LULUCF (Mt CO2e),world_bank
1989,1.6453,World Bank - Sri Lanka Data,Nitrous oxide (N2O) emissions (total) excluding LULUCF (Mt CO2e),world_bank
1990,1.5686,World Bank - Sri Lanka Data,Nitrous oxide (N2O) emissions (total) excluding LULUCF (Mt CO2e),world_bank
1991,1.5214,World Bank - Sri Lanka Data,Nitrous oxide (N2O) emissions (total) excluding LULUCF (Mt CO2e),world_bank
1992,1.6187,World Bank - Sri Lanka Data,Nitrous oxide (N2O) emissions (total) excluding LULUCF (Mt CO2e),world_bank
1993,1.6924,World Bank - Sri Lanka Data,Nitrous oxide (N2O) emissions (total) excluding LULUCF (Mt CO2e),world_bank
1994,1.7417,World Bank - Sri Lanka Data,Nitrous oxide (N2O) emissions (total) excluding LULUCF (Mt CO2e),world_bank
1995,1.704,World Bank - Sri Lanka Data,Nitrous oxide (N2O) emissions (total) excluding LULUCF (Mt CO2e),world_bank
1996,1.7944,World Bank - Sri Lanka Data,Nitrous oxide (N2O) emissions (total) excluding LULUCF (Mt CO2e),world_bank
1997,1.7978,World Bank - Sri Lanka Data,Nitrous oxide (N2O) emissions (total) excluding LULUCF (Mt CO2e),world_bank
1998,1.7466,World Bank - Sri Lanka Data,Nitrous oxide (N2O) emissions (total) excluding LULUCF (Mt CO2e),world_bank
1999,1.9053,World Bank - Sri Lanka Data,Nitrous oxide (N2O) emissions (total) excluding LULUCF (Mt CO2e),world_bank
2000,1.8994,World Bank - Sri Lanka Data,Nitrous oxide (N2O) emissions (total) excluding LULUCF (Mt CO2e),world_bank
2001,1.8732,World Bank - Sri Lanka Data,Nitrous oxide (N2O) emissions (total) excluding LULUCF (Mt CO2e),world_bank
2002,1.888,World Bank - Sri Lanka Data,Nitrous oxide (N2O) emissions (total) excluding LULUCF (Mt CO2e),world_bank
2003,1.8255,World Bank - Sri Lanka Data,Nitrous oxide (N2O) emissions (total) excluding LULUCF (Mt CO2e),world_bank
2004,1.8767,World Bank - Sri Lanka Data,Nitrous oxide (N2O) emissions (total) excluding LULUCF (Mt CO2e),world_bank
2005,1.8354,World Bank - Sri Lanka Data,Nitrous oxide (N2O) emissions (total) excluding LULUCF (Mt CO2e),world_bank
2006,1.8393,World Bank - Sri Lanka Data,Nitrous oxide (N2O) emissions (total) excluding LULUCF (Mt CO2e),world_bank
2007,1.8546,World Bank - Sri Lanka Data,Nitrous oxide (N2O) emissions (total) excluding LULUCF (Mt CO2e),world_bank
2008,1.9881,World Bank - Sri Lanka Data,Nitrous oxide (N2O) emissions (total) excluding LULUCF (Mt CO2e),world_bank
2009,2.0004,World Bank - Sri Lanka Data,Nitrous oxide (N2O) emissions (total) excluding LULUCF (Mt CO2e),world_bank
2010,2.1133,World Bank - Sri Lanka Data,Nitrous oxide (N2O) emissions (total) excluding LULUCF (Mt CO2e),world_bank
2011,2.1188,World Bank - Sri Lanka Data,Nitrous oxide (N2O) emissions (total) excluding LULUCF (Mt CO2e),world_bank
2012,2.0966,World Bank - Sri Lanka Data,Nitrous oxide (N2O) emissions (total) excluding LULUCF (Mt CO2e),world_bank
2013,2.1031,World Bank - Sri Lanka Data,Nitrous oxide (N2O) emissions (total) excluding LULUCF (Mt CO2e),world_bank
2014,2.2235,World Bank - Sri Lanka Data,Nitrous oxide (N2O) emissions (total) excluding LULUCF (Mt CO2e),world_bank
2015,2.472,World Bank - Sri Lanka Data,Nitrous oxide (N2O) emissions (total) excluding LULUCF (Mt CO2e),world_bank
2016,1.9757,World Bank - Sri Lanka Data,Nitrous oxide (N2O) emissions (total) excluding LULUCF (Mt CO2e),world_bank
2017,1.7936,World Bank - Sri Lanka Data,Nitrous oxide (N2O) emissions (total) excluding LULUCF (Mt CO2e),world_bank
2018,1.9015,World Bank - Sri Lanka Data,Nitrous oxide (N2O) emissions (total) excluding LULUCF (Mt CO2e),world_bank
2019,1.7394,World Bank - Sri Lanka Data,Nitrous oxide (N2O) emissions (total) excluding LULUCF (Mt CO2e),world_bank
2020,2.0997,World Bank - Sri Lanka Data,Nitrous oxide (N2O) emissions (total) excluding LULUCF (Mt CO2e),world_bank
2021,1.7064,World Bank - Sri Lanka Data,Nitrous oxide (N2O) emissions (total) excluding LULUCF (Mt CO2e),world_bank
2022,1.5937,World Bank - Sri Lanka Data,Nitrous oxide (N2O) emissions (total) excluding LULUCF (Mt CO2e),world_bank
2023,1.5675,World Bank - Sri Lanka Data,Nitrous oxide (N2O) emissions (total) excluding LULUCF (Mt CO2e),world_bank
