Date,Value,Category,SubCategory,Source
1991,-0.684151919431109,World Bank - Sri Lanka Data,Nitrous oxide emissions (Pct. change from 1990),world_bank
1992,4.84015899528512,World Bank - Sri Lanka Data,Nitrous oxide emissions (Pct. change from 1990),world_bank
1993,9.3860780458239,World Bank - Sri Lanka Data,Nitrous oxide emissions (Pct. change from 1990),world_bank
1994,13.3627220894912,World Bank - Sri Lanka Data,Nitrous oxide emissions (Pct. change from 1990),world_bank
1995,11.0320598205665,World Bank - Sri Lanka Data,Nitrous oxide emissions (Pct. change from 1990),world_bank
1996,14.0192119302845,World Bank - Sri Lanka Data,Nitrous oxide emissions (Pct. change from 1990),world_bank
1997,12.0305375252835,World Bank - Sri Lanka Data,Nitrous oxide emissions (Pct. change from 1990),world_bank
1998,5.184261158213,World Bank - Sri Lanka Data,Nitrous oxide emissions (Pct. change from 1990),world_bank
1999,17.2364702482892,World Bank - Sri Lanka Data,Nitrous oxide emissions (Pct. change from 1990),world_bank
2000,16.2002875446646,World Bank - Sri Lanka Data,Nitrous oxide emissions (Pct. change from 1990),world_bank
2001,16.4820178869696,World Bank - Sri Lanka Data,Nitrous oxide emissions (Pct. change from 1990),world_bank
2002,17.4101951497981,World Bank - Sri Lanka Data,Nitrous oxide emissions (Pct. change from 1990),world_bank
2003,13.9032778682228,World Bank - Sri Lanka Data,Nitrous oxide emissions (Pct. change from 1990),world_bank
2004,18.0991042419886,World Bank - Sri Lanka Data,Nitrous oxide emissions (Pct. change from 1990),world_bank
2005,19.0195290751351,World Bank - Sri Lanka Data,Nitrous oxide emissions (Pct. change from 1990),world_bank
2006,17.5035766891487,World Bank - Sri Lanka Data,Nitrous oxide emissions (Pct. change from 1990),world_bank
2007,20.1644219858906,World Bank - Sri Lanka Data,Nitrous oxide emissions (Pct. change from 1990),world_bank
2008,20.7983593039728,World Bank - Sri Lanka Data,Nitrous oxide emissions (Pct. change from 1990),world_bank
2009,13.6988956311535,World Bank - Sri Lanka Data,Nitrous oxide emissions (Pct. change from 1990),world_bank
2010,21.1530329619215,World Bank - Sri Lanka Data,Nitrous oxide emissions (Pct. change from 1990),world_bank
2011,22.3645632915407,World Bank - Sri Lanka Data,Nitrous oxide emissions (Pct. change from 1990),world_bank
2012,23.5760936211599,World Bank - Sri Lanka Data,Nitrous oxide emissions (Pct. change from 1990),world_bank
