Date,Value,Category,SubCategory,Source
1970,16.2577286695834,World Bank - Sri Lanka Data,Nitrous oxide emissions in energy sector (Pct. of total),world_bank
1971,15.8823187680994,World Bank - Sri Lanka Data,Nitrous oxide emissions in energy sector (Pct. of total),world_bank
1972,16.4154779874971,World Bank - Sri Lanka Data,Nitrous oxide emissions in energy sector (Pct. of total),world_bank
1973,16.3371770452063,World Bank - Sri Lanka Data,Nitrous oxide emissions in energy sector (Pct. of total),world_bank
1974,14.8339802913544,World Bank - Sri Lanka Data,Nitrous oxide emissions in energy sector (Pct. of total),world_bank
1975,17.5806588906476,World Bank - Sri Lanka Data,Nitrous oxide emissions in energy sector (Pct. of total),world_bank
1976,16.372427144784,World Bank - Sri Lanka Data,Nitrous oxide emissions in energy sector (Pct. of total),world_bank
1977,15.3907723245024,World Bank - Sri Lanka Data,Nitrous oxide emissions in energy sector (Pct. of total),world_bank
1978,14.6865114372891,World Bank - Sri Lanka Data,Nitrous oxide emissions in energy sector (Pct. of total),world_bank
1979,14.8639380708571,World Bank - Sri Lanka Data,Nitrous oxide emissions in energy sector (Pct. of total),world_bank
1980,13.8713073628236,World Bank - Sri Lanka Data,Nitrous oxide emissions in energy sector (Pct. of total),world_bank
1981,14.3550584378916,World Bank - Sri Lanka Data,Nitrous oxide emissions in energy sector (Pct. of total),world_bank
1982,13.2484879711116,World Bank - Sri Lanka Data,Nitrous oxide emissions in energy sector (Pct. of total),world_bank
1983,13.4405902094458,World Bank - Sri Lanka Data,Nitrous oxide emissions in energy sector (Pct. of total),world_bank
1984,12.7544775736495,World Bank - Sri Lanka Data,Nitrous oxide emissions in energy sector (Pct. of total),world_bank
1985,13.2247277783904,World Bank - Sri Lanka Data,Nitrous oxide emissions in energy sector (Pct. of total),world_bank
1986,13.4916693810651,World Bank - Sri Lanka Data,Nitrous oxide emissions in energy sector (Pct. of total),world_bank
1987,13.2984271544713,World Bank - Sri Lanka Data,Nitrous oxide emissions in energy sector (Pct. of total),world_bank
1988,13.1227218286839,World Bank - Sri Lanka Data,Nitrous oxide emissions in energy sector (Pct. of total),world_bank
1989,13.1092992986785,World Bank - Sri Lanka Data,Nitrous oxide emissions in energy sector (Pct. of total),world_bank
1990,13.7777777777778,World Bank - Sri Lanka Data,Nitrous oxide emissions in energy sector (Pct. of total),world_bank
1991,15.3153153153153,World Bank - Sri Lanka Data,Nitrous oxide emissions in energy sector (Pct. of total),world_bank
1992,16.3090128755365,World Bank - Sri Lanka Data,Nitrous oxide emissions in energy sector (Pct. of total),world_bank
1993,16.6666666666667,World Bank - Sri Lanka Data,Nitrous oxide emissions in energy sector (Pct. of total),world_bank
1994,17.8294573643411,World Bank - Sri Lanka Data,Nitrous oxide emissions in energy sector (Pct. of total),world_bank
1995,17.2,World Bank - Sri Lanka Data,Nitrous oxide emissions in energy sector (Pct. of total),world_bank
1996,17.0833333333333,World Bank - Sri Lanka Data,Nitrous oxide emissions in energy sector (Pct. of total),world_bank
1997,15.7676348547718,World Bank - Sri Lanka Data,Nitrous oxide emissions in energy sector (Pct. of total),world_bank
1998,15.1898734177215,World Bank - Sri Lanka Data,Nitrous oxide emissions in energy sector (Pct. of total),world_bank
1999,13.4920634920635,World Bank - Sri Lanka Data,Nitrous oxide emissions in energy sector (Pct. of total),world_bank
2000,13.0612244897959,World Bank - Sri Lanka Data,Nitrous oxide emissions in energy sector (Pct. of total),world_bank
2001,13.1147540983607,World Bank - Sri Lanka Data,Nitrous oxide emissions in energy sector (Pct. of total),world_bank
2002,12.406015037594,World Bank - Sri Lanka Data,Nitrous oxide emissions in energy sector (Pct. of total),world_bank
2003,13.3603238866397,World Bank - Sri Lanka Data,Nitrous oxide emissions in energy sector (Pct. of total),world_bank
2004,13.3858267716535,World Bank - Sri Lanka Data,Nitrous oxide emissions in energy sector (Pct. of total),world_bank
2005,12.5,World Bank - Sri Lanka Data,Nitrous oxide emissions in energy sector (Pct. of total),world_bank
2006,12.6865671641791,World Bank - Sri Lanka Data,Nitrous oxide emissions in energy sector (Pct. of total),world_bank
2007,13.5135135135135,World Bank - Sri Lanka Data,Nitrous oxide emissions in energy sector (Pct. of total),world_bank
2008,11.864406779661,World Bank - Sri Lanka Data,Nitrous oxide emissions in energy sector (Pct. of total),world_bank
