Date,Value,Category,SubCategory,Source
1990,248.6,World Bank - Sri Lanka Data,Nitrous oxide emissions in energy sector (thousand metric tons of CO2 equivalent),world_bank
1991,247.6,World Bank - Sri Lanka Data,Nitrous oxide emissions in energy sector (thousand metric tons of CO2 equivalent),world_bank
1992,261.7,World Bank - Sri Lanka Data,Nitrous oxide emissions in energy sector (thousand metric tons of CO2 equivalent),world_bank
1993,258.8,World Bank - Sri Lanka Data,Nitrous oxide emissions in energy sector (thousand metric tons of CO2 equivalent),world_bank
1994,252.7,World Bank - Sri Lanka Data,Nitrous oxide emissions in energy sector (thousand metric tons of CO2 equivalent),world_bank
1995,255.7,World Bank - Sri Lanka Data,Nitrous oxide emissions in energy sector (thousand metric tons of CO2 equivalent),world_bank
1996,291.5,World Bank - Sri Lanka Data,Nitrous oxide emissions in energy sector (thousand metric tons of CO2 equivalent),world_bank
1997,291.6,World Bank - Sri Lanka Data,Nitrous oxide emissions in energy sector (thousand metric tons of CO2 equivalent),world_bank
1998,292.2,World Bank - Sri Lanka Data,Nitrous oxide emissions in energy sector (thousand metric tons of CO2 equivalent),world_bank
1999,310.4,World Bank - Sri Lanka Data,Nitrous oxide emissions in energy sector (thousand metric tons of CO2 equivalent),world_bank
2000,324.5,World Bank - Sri Lanka Data,Nitrous oxide emissions in energy sector (thousand metric tons of CO2 equivalent),world_bank
2001,319.6,World Bank - Sri Lanka Data,Nitrous oxide emissions in energy sector (thousand metric tons of CO2 equivalent),world_bank
2002,324.8,World Bank - Sri Lanka Data,Nitrous oxide emissions in energy sector (thousand metric tons of CO2 equivalent),world_bank
2003,333.7,World Bank - Sri Lanka Data,Nitrous oxide emissions in energy sector (thousand metric tons of CO2 equivalent),world_bank
2004,345.1,World Bank - Sri Lanka Data,Nitrous oxide emissions in energy sector (thousand metric tons of CO2 equivalent),world_bank
2005,363.3,World Bank - Sri Lanka Data,Nitrous oxide emissions in energy sector (thousand metric tons of CO2 equivalent),world_bank
2006,361.7,World Bank - Sri Lanka Data,Nitrous oxide emissions in energy sector (thousand metric tons of CO2 equivalent),world_bank
2007,370.3,World Bank - Sri Lanka Data,Nitrous oxide emissions in energy sector (thousand metric tons of CO2 equivalent),world_bank
2008,354.8,World Bank - Sri Lanka Data,Nitrous oxide emissions in energy sector (thousand metric tons of CO2 equivalent),world_bank
2009,356.4,World Bank - Sri Lanka Data,Nitrous oxide emissions in energy sector (thousand metric tons of CO2 equivalent),world_bank
2010,390.2,World Bank - Sri Lanka Data,Nitrous oxide emissions in energy sector (thousand metric tons of CO2 equivalent),world_bank
2011,378.6,World Bank - Sri Lanka Data,Nitrous oxide emissions in energy sector (thousand metric tons of CO2 equivalent),world_bank
2012,394.9,World Bank - Sri Lanka Data,Nitrous oxide emissions in energy sector (thousand metric tons of CO2 equivalent),world_bank
2013,378.1,World Bank - Sri Lanka Data,Nitrous oxide emissions in energy sector (thousand metric tons of CO2 equivalent),world_bank
2014,399.1,World Bank - Sri Lanka Data,Nitrous oxide emissions in energy sector (thousand metric tons of CO2 equivalent),world_bank
2015,422.1,World Bank - Sri Lanka Data,Nitrous oxide emissions in energy sector (thousand metric tons of CO2 equivalent),world_bank
2016,463.8,World Bank - Sri Lanka Data,Nitrous oxide emissions in energy sector (thousand metric tons of CO2 equivalent),world_bank
2017,450,World Bank - Sri Lanka Data,Nitrous oxide emissions in energy sector (thousand metric tons of CO2 equivalent),world_bank
2018,435.5,World Bank - Sri Lanka Data,Nitrous oxide emissions in energy sector (thousand metric tons of CO2 equivalent),world_bank
2019,451,World Bank - Sri Lanka Data,Nitrous oxide emissions in energy sector (thousand metric tons of CO2 equivalent),world_bank
2020,426.5,World Bank - Sri Lanka Data,Nitrous oxide emissions in energy sector (thousand metric tons of CO2 equivalent),world_bank
