Date,Value,Category,SubCategory,Source
1991,-0.0508785246604027,World Bank - Sri Lanka Data,Other greenhouse gas emissions (Pct. change from 1990),world_bank
1992,-0.101757049320572,World Bank - Sri Lanka Data,Other greenhouse gas emissions (Pct. change from 1990),world_bank
1993,-0.152635573980975,World Bank - Sri Lanka Data,Other greenhouse gas emissions (Pct. change from 1990),world_bank
1994,-0.2035140986408,World Bank - Sri Lanka Data,Other greenhouse gas emissions (Pct. change from 1990),world_bank
1995,-0.254438418552694,World Bank - Sri Lanka Data,Other greenhouse gas emissions (Pct. change from 1990),world_bank
1996,-0.305316943212741,World Bank - Sri Lanka Data,Other greenhouse gas emissions (Pct. change from 1990),world_bank
1997,-0.356195467872922,World Bank - Sri Lanka Data,Other greenhouse gas emissions (Pct. change from 1990),world_bank
1998,-55.1035945837957,World Bank - Sri Lanka Data,Other greenhouse gas emissions (Pct. change from 1990),world_bank
1999,7.64975333532543,World Bank - Sri Lanka Data,Other greenhouse gas emissions (Pct. change from 1990),world_bank
2000,-49.4663135852759,World Bank - Sri Lanka Data,Other greenhouse gas emissions (Pct. change from 1990),world_bank
2001,-82.1547352862719,World Bank - Sri Lanka Data,Other greenhouse gas emissions (Pct. change from 1990),world_bank
2002,-63.2337401096569,World Bank - Sri Lanka Data,Other greenhouse gas emissions (Pct. change from 1990),world_bank
2003,-87.7027155439391,World Bank - Sri Lanka Data,Other greenhouse gas emissions (Pct. change from 1990),world_bank
2004,-45.208500056672,World Bank - Sri Lanka Data,Other greenhouse gas emissions (Pct. change from 1990),world_bank
2005,-72.270402643302,World Bank - Sri Lanka Data,Other greenhouse gas emissions (Pct. change from 1990),world_bank
2006,-70.9852733919285,World Bank - Sri Lanka Data,Other greenhouse gas emissions (Pct. change from 1990),world_bank
2007,-84.0279900578508,World Bank - Sri Lanka Data,Other greenhouse gas emissions (Pct. change from 1990),world_bank
2008,-90.1294860742362,World Bank - Sri Lanka Data,Other greenhouse gas emissions (Pct. change from 1990),world_bank
2009,-46.696158808774,World Bank - Sri Lanka Data,Other greenhouse gas emissions (Pct. change from 1990),world_bank
2010,-89.5872016010021,World Bank - Sri Lanka Data,Other greenhouse gas emissions (Pct. change from 1990),world_bank
2011,-89.5872016010021,World Bank - Sri Lanka Data,Other greenhouse gas emissions (Pct. change from 1990),world_bank
2012,-89.5872016010023,World Bank - Sri Lanka Data,Other greenhouse gas emissions (Pct. change from 1990),world_bank
