Date,Value,Category,SubCategory,Source
1991,0.27,World Bank - Sri Lanka Data,Pump price for diesel fuel (US$ per liter),world_bank
1995,0.23,World Bank - Sri Lanka Data,Pump price for diesel fuel (US$ per liter),world_bank
1998,0.3,World Bank - Sri Lanka Data,Pump price for diesel fuel (US$ per liter),world_bank
2000,0.27,World Bank - Sri Lanka Data,Pump price for diesel fuel (US$ per liter),world_bank
2002,0.31,World Bank - Sri Lanka Data,Pump price for diesel fuel (US$ per liter),world_bank
2004,0.41,World Bank - Sri Lanka Data,Pump price for diesel fuel (US$ per liter),world_bank
2006,0.55,World Bank - Sri Lanka Data,Pump price for diesel fuel (US$ per liter),world_bank
2008,0.75,World Bank - Sri Lanka Data,Pump price for diesel fuel (US$ per liter),world_bank
2010,0.66,World Bank - Sri Lanka Data,Pump price for diesel fuel (US$ per liter),world_bank
2012,0.93,World Bank - Sri Lanka Data,Pump price for diesel fuel (US$ per liter),world_bank
2014,0.9,World Bank - Sri Lanka Data,Pump price for diesel fuel (US$ per liter),world_bank
2016,0.65,World Bank - Sri Lanka Data,Pump price for diesel fuel (US$ per liter),world_bank
