Date,Value,Category,SubCategory,Source
1995,137,World Bank - Sri Lanka Data,Railways goods transported (million ton-km),world_bank
1996,108,World Bank - Sri Lanka Data,Railways goods transported (million ton-km),world_bank
1997,96,World Bank - Sri Lanka Data,Railways goods transported (million ton-km),world_bank
1998,106,World Bank - Sri Lanka Data,Railways goods transported (million ton-km),world_bank
1999,107,World Bank - Sri Lanka Data,Railways goods transported (million ton-km),world_bank
2003,126.5,World Bank - Sri Lanka Data,Railways goods transported (million ton-km),world_bank
2004,138,World Bank - Sri Lanka Data,Railways goods transported (million ton-km),world_bank
2005,134.7,World Bank - Sri Lanka Data,Railways goods transported (million ton-km),world_bank
2007,135,World Bank - Sri Lanka Data,Railways goods transported (million ton-km),world_bank
2011,153.9,World Bank - Sri Lanka Data,Railways goods transported (million ton-km),world_bank
2012,142.4,World Bank - Sri Lanka Data,Railways goods transported (million ton-km),world_bank
2013,133,World Bank - Sri Lanka Data,Railways goods transported (million ton-km),world_bank
2015,127.39,World Bank - Sri Lanka Data,Railways goods transported (million ton-km),world_bank
