Date,Value,Category,SubCategory,Source
1990,78.1,World Bank - Sri Lanka Data,Renewable energy consumption (Pct. of total final energy consumption),world_bank
1991,78,World Bank - Sri Lanka Data,Renewable energy consumption (Pct. of total final energy consumption),world_bank
1992,75.3,World Bank - Sri Lanka Data,Renewable energy consumption (Pct. of total final energy consumption),world_bank
1993,74.2,World Bank - Sri Lanka Data,Renewable energy consumption (Pct. of total final energy consumption),world_bank
1994,70.6,World Bank - Sri Lanka Data,Renewable energy consumption (Pct. of total final energy consumption),world_bank
1995,69.9,World Bank - Sri Lanka Data,Renewable energy consumption (Pct. of total final energy consumption),world_bank
1996,64.4,World Bank - Sri Lanka Data,Renewable energy consumption (Pct. of total final energy consumption),world_bank
1997,65.9,World Bank - Sri Lanka Data,Renewable energy consumption (Pct. of total final energy consumption),world_bank
1998,64.2,World Bank - Sri Lanka Data,Renewable energy consumption (Pct. of total final energy consumption),world_bank
1999,63.2,World Bank - Sri Lanka Data,Renewable energy consumption (Pct. of total final energy consumption),world_bank
2000,64.2,World Bank - Sri Lanka Data,Renewable energy consumption (Pct. of total final energy consumption),world_bank
2001,62.9,World Bank - Sri Lanka Data,Renewable energy consumption (Pct. of total final energy consumption),world_bank
2002,62.1,World Bank - Sri Lanka Data,Renewable energy consumption (Pct. of total final energy consumption),world_bank
2003,61.3,World Bank - Sri Lanka Data,Renewable energy consumption (Pct. of total final energy consumption),world_bank
2004,61.6,World Bank - Sri Lanka Data,Renewable energy consumption (Pct. of total final energy consumption),world_bank
2005,60.1,World Bank - Sri Lanka Data,Renewable energy consumption (Pct. of total final energy consumption),world_bank
2006,62.2,World Bank - Sri Lanka Data,Renewable energy consumption (Pct. of total final energy consumption),world_bank
2007,60.2,World Bank - Sri Lanka Data,Renewable energy consumption (Pct. of total final energy consumption),world_bank
2008,61.6,World Bank - Sri Lanka Data,Renewable energy consumption (Pct. of total final energy consumption),world_bank
2009,63.5,World Bank - Sri Lanka Data,Renewable energy consumption (Pct. of total final energy consumption),world_bank
2010,61.9,World Bank - Sri Lanka Data,Renewable energy consumption (Pct. of total final energy consumption),world_bank
2011,56.4,World Bank - Sri Lanka Data,Renewable energy consumption (Pct. of total final energy consumption),world_bank
2012,52.9,World Bank - Sri Lanka Data,Renewable energy consumption (Pct. of total final energy consumption),world_bank
2013,56.9,World Bank - Sri Lanka Data,Renewable energy consumption (Pct. of total final energy consumption),world_bank
2014,54.2,World Bank - Sri Lanka Data,Renewable energy consumption (Pct. of total final energy consumption),world_bank
2015,51.3,World Bank - Sri Lanka Data,Renewable energy consumption (Pct. of total final energy consumption),world_bank
2016,45.1,World Bank - Sri Lanka Data,Renewable energy consumption (Pct. of total final energy consumption),world_bank
2017,45.8,World Bank - Sri Lanka Data,Renewable energy consumption (Pct. of total final energy consumption),world_bank
2018,47.9,World Bank - Sri Lanka Data,Renewable energy consumption (Pct. of total final energy consumption),world_bank
2019,46.1,World Bank - Sri Lanka Data,Renewable energy consumption (Pct. of total final energy consumption),world_bank
2020,49.3,World Bank - Sri Lanka Data,Renewable energy consumption (Pct. of total final energy consumption),world_bank
2021,48.8,World Bank - Sri Lanka Data,Renewable energy consumption (Pct. of total final energy consumption),world_bank
