Date,Value,Category,SubCategory,Source
1970,19.0813,World Bank - Sri Lanka Data,Total greenhouse gas emissions excluding LULUCF (Mt CO2e),world_bank
1971,18.9168,World Bank - Sri Lanka Data,Total greenhouse gas emissions excluding LULUCF (Mt CO2e),world_bank
1972,18.8298,World Bank - Sri Lanka Data,Total greenhouse gas emissions excluding LULUCF (Mt CO2e),world_bank
1973,19.3455,World Bank - Sri Lanka Data,Total greenhouse gas emissions excluding LULUCF (Mt CO2e),world_bank
1974,20.4685,World Bank - Sri Lanka Data,Total greenhouse gas emissions excluding LULUCF (Mt CO2e),world_bank
1975,17.5955,World Bank - Sri Lanka Data,Total greenhouse gas emissions excluding LULUCF (Mt CO2e),world_bank
1976,18.2724,World Bank - Sri Lanka Data,Total greenhouse gas emissions excluding LULUCF (Mt CO2e),world_bank
1977,20.0304,World Bank - Sri Lanka Data,Total greenhouse gas emissions excluding LULUCF (Mt CO2e),world_bank
1978,21.1358,World Bank - Sri Lanka Data,Total greenhouse gas emissions excluding LULUCF (Mt CO2e),world_bank
1979,20.9584,World Bank - Sri Lanka Data,Total greenhouse gas emissions excluding LULUCF (Mt CO2e),world_bank
1980,21.3814,World Bank - Sri Lanka Data,Total greenhouse gas emissions excluding LULUCF (Mt CO2e),world_bank
1981,21.7562,World Bank - Sri Lanka Data,Total greenhouse gas emissions excluding LULUCF (Mt CO2e),world_bank
1982,21.3339,World Bank - Sri Lanka Data,Total greenhouse gas emissions excluding LULUCF (Mt CO2e),world_bank
1983,21.7531,World Bank - Sri Lanka Data,Total greenhouse gas emissions excluding LULUCF (Mt CO2e),world_bank
1984,22.4592,World Bank - Sri Lanka Data,Total greenhouse gas emissions excluding LULUCF (Mt CO2e),world_bank
1985,21.8151,World Bank - Sri Lanka Data,Total greenhouse gas emissions excluding LULUCF (Mt CO2e),world_bank
1986,21.3559,World Bank - Sri Lanka Data,Total greenhouse gas emissions excluding LULUCF (Mt CO2e),world_bank
1987,20.472,World Bank - Sri Lanka Data,Total greenhouse gas emissions excluding LULUCF (Mt CO2e),world_bank
1988,21.4409,World Bank - Sri Lanka Data,Total greenhouse gas emissions excluding LULUCF (Mt CO2e),world_bank
1989,19.9842,World Bank - Sri Lanka Data,Total greenhouse gas emissions excluding LULUCF (Mt CO2e),world_bank
1990,21.0923,World Bank - Sri Lanka Data,Total greenhouse gas emissions excluding LULUCF (Mt CO2e),world_bank
1991,20.2743,World Bank - Sri Lanka Data,Total greenhouse gas emissions excluding LULUCF (Mt CO2e),world_bank
1992,21.3889,World Bank - Sri Lanka Data,Total greenhouse gas emissions excluding LULUCF (Mt CO2e),world_bank
