Date,Value,Category,SubCategory,Source
1991,-3.8781925157522,World Bank - Sri Lanka Data,Total greenhouse gas emissions excluding LULUCF (Pct. change from 1990),world_bank
1992,1.40620036695855,World Bank - Sri Lanka Data,Total greenhouse gas emissions excluding LULUCF (Pct. change from 1990),world_bank
1993,3.01674070632409,World Bank - Sri Lanka Data,Total greenhouse gas emissions excluding LULUCF (Pct. change from 1990),world_bank
1994,9.89792483512939,World Bank - Sri Lanka Data,Total greenhouse gas emissions excluding LULUCF (Pct. change from 1990),world_bank
1995,8.88191425306863,World Bank - Sri Lanka Data,Total greenhouse gas emissions excluding LULUCF (Pct. change from 1990),world_bank
1996,11.8014630931667,World Bank - Sri Lanka Data,Total greenhouse gas emissions excluding LULUCF (Pct. change from 1990),world_bank
1997,12.0124405588769,World Bank - Sri Lanka Data,Total greenhouse gas emissions excluding LULUCF (Pct. change from 1990),world_bank
1998,10.0614916343879,World Bank - Sri Lanka Data,Total greenhouse gas emissions excluding LULUCF (Pct. change from 1990),world_bank
1999,18.7144123684946,World Bank - Sri Lanka Data,Total greenhouse gas emissions excluding LULUCF (Pct. change from 1990),world_bank
2000,23.8466170118953,World Bank - Sri Lanka Data,Total greenhouse gas emissions excluding LULUCF (Pct. change from 1990),world_bank
2001,20.891036065294,World Bank - Sri Lanka Data,Total greenhouse gas emissions excluding LULUCF (Pct. change from 1990),world_bank
2002,25.1086889528406,World Bank - Sri Lanka Data,Total greenhouse gas emissions excluding LULUCF (Pct. change from 1990),world_bank
2003,33.0788960900423,World Bank - Sri Lanka Data,Total greenhouse gas emissions excluding LULUCF (Pct. change from 1990),world_bank
2004,29.2808276005936,World Bank - Sri Lanka Data,Total greenhouse gas emissions excluding LULUCF (Pct. change from 1990),world_bank
2005,42.2827287683183,World Bank - Sri Lanka Data,Total greenhouse gas emissions excluding LULUCF (Pct. change from 1990),world_bank
2006,36.6361183939162,World Bank - Sri Lanka Data,Total greenhouse gas emissions excluding LULUCF (Pct. change from 1990),world_bank
2007,38.2770015598109,World Bank - Sri Lanka Data,Total greenhouse gas emissions excluding LULUCF (Pct. change from 1990),world_bank
2008,44.2867776392333,World Bank - Sri Lanka Data,Total greenhouse gas emissions excluding LULUCF (Pct. change from 1990),world_bank
2009,37.6559218292931,World Bank - Sri Lanka Data,Total greenhouse gas emissions excluding LULUCF (Pct. change from 1990),world_bank
2010,47.5429422111387,World Bank - Sri Lanka Data,Total greenhouse gas emissions excluding LULUCF (Pct. change from 1990),world_bank
2011,58.6612176007358,World Bank - Sri Lanka Data,Total greenhouse gas emissions excluding LULUCF (Pct. change from 1990),world_bank
2012,67.9371144920184,World Bank - Sri Lanka Data,Total greenhouse gas emissions excluding LULUCF (Pct. change from 1990),world_bank
2013,57.2673440070547,World Bank - Sri Lanka Data,Total greenhouse gas emissions excluding LULUCF (Pct. change from 1990),world_bank
2014,60.726900338038,World Bank - Sri Lanka Data,Total greenhouse gas emissions excluding LULUCF (Pct. change from 1990),world_bank
2015,82.5021453326569,World Bank - Sri Lanka Data,Total greenhouse gas emissions excluding LULUCF (Pct. change from 1990),world_bank
2016,94.7028062373473,World Bank - Sri Lanka Data,Total greenhouse gas emissions excluding LULUCF (Pct. change from 1990),world_bank
2017,81.2903286981505,World Bank - Sri Lanka Data,Total greenhouse gas emissions excluding LULUCF (Pct. change from 1990),world_bank
2018,84.9253044950053,World Bank - Sri Lanka Data,Total greenhouse gas emissions excluding LULUCF (Pct. change from 1990),world_bank
2019,90.8815065213372,World Bank - Sri Lanka Data,Total greenhouse gas emissions excluding LULUCF (Pct. change from 1990),world_bank
2020,88.6783328513249,World Bank - Sri Lanka Data,Total greenhouse gas emissions excluding LULUCF (Pct. change from 1990),world_bank
2021,92.3616675279604,World Bank - Sri Lanka Data,Total greenhouse gas emissions excluding LULUCF (Pct. change from 1990),world_bank
2022,78.6121001502918,World Bank - Sri Lanka Data,Total greenhouse gas emissions excluding LULUCF (Pct. change from 1990),world_bank
2023,82.0749752279268,World Bank - Sri Lanka Data,Total greenhouse gas emissions excluding LULUCF (Pct. change from 1990),world_bank
