Date,Value,Category,SubCategory,Source
1970,1.55295264712369,World Bank - Sri Lanka Data,Total greenhouse gas emissions excluding LULUCF per capita (t CO2e or capita),world_bank
1971,1.50708537585117,World Bank - Sri Lanka Data,Total greenhouse gas emissions excluding LULUCF per capita (t CO2e or capita),world_bank
1972,1.47002097319857,World Bank - Sri Lanka Data,Total greenhouse gas emissions excluding LULUCF per capita (t CO2e or capita),world_bank
1973,1.48117482724795,World Bank - Sri Lanka Data,Total greenhouse gas emissions excluding LULUCF per capita (t CO2e or capita),world_bank
1974,1.53832648927042,World Bank - Sri Lanka Data,Total greenhouse gas emissions excluding LULUCF per capita (t CO2e or capita),world_bank
1975,1.29865826101795,World Bank - Sri Lanka Data,Total greenhouse gas emissions excluding LULUCF per capita (t CO2e or capita),world_bank
1976,1.32439694218284,World Bank - Sri Lanka Data,Total greenhouse gas emissions excluding LULUCF per capita (t CO2e or capita),world_bank
1977,1.42571507293814,World Bank - Sri Lanka Data,Total greenhouse gas emissions excluding LULUCF per capita (t CO2e or capita),world_bank
1978,1.47698189701727,World Bank - Sri Lanka Data,Total greenhouse gas emissions excluding LULUCF per capita (t CO2e or capita),world_bank
1979,1.43751405215529,World Bank - Sri Lanka Data,Total greenhouse gas emissions excluding LULUCF per capita (t CO2e or capita),world_bank
1980,1.44002137934778,World Bank - Sri Lanka Data,Total greenhouse gas emissions excluding LULUCF per capita (t CO2e or capita),world_bank
1981,1.44086386398836,World Bank - Sri Lanka Data,Total greenhouse gas emissions excluding LULUCF per capita (t CO2e or capita),world_bank
1982,1.39559784744344,World Bank - Sri Lanka Data,Total greenhouse gas emissions excluding LULUCF per capita (t CO2e or capita),world_bank
1983,1.41356756091478,World Bank - Sri Lanka Data,Total greenhouse gas emissions excluding LULUCF per capita (t CO2e or capita),world_bank
1984,1.45443618838663,World Bank - Sri Lanka Data,Total greenhouse gas emissions excluding LULUCF per capita (t CO2e or capita),world_bank
1985,1.40342793824611,World Bank - Sri Lanka Data,Total greenhouse gas emissions excluding LULUCF per capita (t CO2e or capita),world_bank
1986,1.35754576748354,World Bank - Sri Lanka Data,Total greenhouse gas emissions excluding LULUCF per capita (t CO2e or capita),world_bank
