Date,Value,Category,SubCategory,Source
2000,2.90735,World Bank - Sri Lanka Data,Total greenhouse gas emissions including LULUCF (Mt CO2e),world_bank
2001,2.537004,World Bank - Sri Lanka Data,Total greenhouse gas emissions including LULUCF (Mt CO2e),world_bank
2002,5.5828,World Bank - Sri Lanka Data,Total greenhouse gas emissions including LULUCF (Mt CO2e),world_bank
2003,7.58872,World Bank - Sri Lanka Data,Total greenhouse gas emissions including LULUCF (Mt CO2e),world_bank
2004,7.65311,World Bank - Sri Lanka Data,Total greenhouse gas emissions including LULUCF (Mt CO2e),world_bank
2005,10.49857,World Bank - Sri Lanka Data,Total greenhouse gas emissions including LULUCF (Mt CO2e),world_bank
2006,8.94568,World Bank - Sri Lanka Data,Total greenhouse gas emissions including LULUCF (Mt CO2e),world_bank
2007,10.49977,World Bank - Sri Lanka Data,Total greenhouse gas emissions including LULUCF (Mt CO2e),world_bank
2008,12.12198,World Bank - Sri Lanka Data,Total greenhouse gas emissions including LULUCF (Mt CO2e),world_bank
2009,10.74827,World Bank - Sri Lanka Data,Total greenhouse gas emissions including LULUCF (Mt CO2e),world_bank
2010,12.63627,World Bank - Sri Lanka Data,Total greenhouse gas emissions including LULUCF (Mt CO2e),world_bank
2011,14.98137,World Bank - Sri Lanka Data,Total greenhouse gas emissions including LULUCF (Mt CO2e),world_bank
2012,16.93787,World Bank - Sri Lanka Data,Total greenhouse gas emissions including LULUCF (Mt CO2e),world_bank
2013,14.68737,World Bank - Sri Lanka Data,Total greenhouse gas emissions including LULUCF (Mt CO2e),world_bank
2014,15.41707,World Bank - Sri Lanka Data,Total greenhouse gas emissions including LULUCF (Mt CO2e),world_bank
2015,20.00997,World Bank - Sri Lanka Data,Total greenhouse gas emissions including LULUCF (Mt CO2e),world_bank
2016,22.58337,World Bank - Sri Lanka Data,Total greenhouse gas emissions including LULUCF (Mt CO2e),world_bank
2017,19.75437,World Bank - Sri Lanka Data,Total greenhouse gas emissions including LULUCF (Mt CO2e),world_bank
2018,20.52107,World Bank - Sri Lanka Data,Total greenhouse gas emissions including LULUCF (Mt CO2e),world_bank
2019,21.77737,World Bank - Sri Lanka Data,Total greenhouse gas emissions including LULUCF (Mt CO2e),world_bank
2020,21.31267,World Bank - Sri Lanka Data,Total greenhouse gas emissions including LULUCF (Mt CO2e),world_bank
2021,22.08957,World Bank - Sri Lanka Data,Total greenhouse gas emissions including LULUCF (Mt CO2e),world_bank
2022,19.18947,World Bank - Sri Lanka Data,Total greenhouse gas emissions including LULUCF (Mt CO2e),world_bank
