Date,Value,Category,SubCategory,Source
1990,23708.9147,World Bank - Sri Lanka Data,Total greenhouse gas emissions (kt of CO2 equivalent),world_bank
1991,23553.78282,World Bank - Sri Lanka Data,Total greenhouse gas emissions (kt of CO2 equivalent),world_bank
1992,25319.87805,World Bank - Sri Lanka Data,Total greenhouse gas emissions (kt of CO2 equivalent),world_bank
1993,25636.94188,World Bank - Sri Lanka Data,Total greenhouse gas emissions (kt of CO2 equivalent),world_bank
1994,26414.27791,World Bank - Sri Lanka Data,Total greenhouse gas emissions (kt of CO2 equivalent),world_bank
1995,26531.99793,World Bank - Sri Lanka Data,Total greenhouse gas emissions (kt of CO2 equivalent),world_bank
1996,26424.22198,World Bank - Sri Lanka Data,Total greenhouse gas emissions (kt of CO2 equivalent),world_bank
1997,24465.73443,World Bank - Sri Lanka Data,Total greenhouse gas emissions (kt of CO2 equivalent),world_bank
1998,21960.80837,World Bank - Sri Lanka Data,Total greenhouse gas emissions (kt of CO2 equivalent),world_bank
1999,21364.16622,World Bank - Sri Lanka Data,Total greenhouse gas emissions (kt of CO2 equivalent),world_bank
2000,20640.53357,World Bank - Sri Lanka Data,Total greenhouse gas emissions (kt of CO2 equivalent),world_bank
2001,20392.06011,World Bank - Sri Lanka Data,Total greenhouse gas emissions (kt of CO2 equivalent),world_bank
2002,21248.59054,World Bank - Sri Lanka Data,Total greenhouse gas emissions (kt of CO2 equivalent),world_bank
2003,22420.35208,World Bank - Sri Lanka Data,Total greenhouse gas emissions (kt of CO2 equivalent),world_bank
2004,22553.30792,World Bank - Sri Lanka Data,Total greenhouse gas emissions (kt of CO2 equivalent),world_bank
2005,24497.85696,World Bank - Sri Lanka Data,Total greenhouse gas emissions (kt of CO2 equivalent),world_bank
2006,22944.12932,World Bank - Sri Lanka Data,Total greenhouse gas emissions (kt of CO2 equivalent),world_bank
2007,23887.84848,World Bank - Sri Lanka Data,Total greenhouse gas emissions (kt of CO2 equivalent),world_bank
2008,24157.25163,World Bank - Sri Lanka Data,Total greenhouse gas emissions (kt of CO2 equivalent),world_bank
2009,23307.97879,World Bank - Sri Lanka Data,Total greenhouse gas emissions (kt of CO2 equivalent),world_bank
2010,24596.57305,World Bank - Sri Lanka Data,Total greenhouse gas emissions (kt of CO2 equivalent),world_bank
2011,27164.46824,World Bank - Sri Lanka Data,Total greenhouse gas emissions (kt of CO2 equivalent),world_bank
2012,29048.20964,World Bank - Sri Lanka Data,Total greenhouse gas emissions (kt of CO2 equivalent),world_bank
2013,26161.51283,World Bank - Sri Lanka Data,Total greenhouse gas emissions (kt of CO2 equivalent),world_bank
2014,28830.96863,World Bank - Sri Lanka Data,Total greenhouse gas emissions (kt of CO2 equivalent),world_bank
2015,31300.28372,World Bank - Sri Lanka Data,Total greenhouse gas emissions (kt of CO2 equivalent),world_bank
2016,34744.83349,World Bank - Sri Lanka Data,Total greenhouse gas emissions (kt of CO2 equivalent),world_bank
2017,33847.33216,World Bank - Sri Lanka Data,Total greenhouse gas emissions (kt of CO2 equivalent),world_bank
2018,33285.05462,World Bank - Sri Lanka Data,Total greenhouse gas emissions (kt of CO2 equivalent),world_bank
2019,35477.98059,World Bank - Sri Lanka Data,Total greenhouse gas emissions (kt of CO2 equivalent),world_bank
2020,35117.25456,World Bank - Sri Lanka Data,Total greenhouse gas emissions (kt of CO2 equivalent),world_bank
