latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type,nearest_district,,
7.7542,80.6567,313.2,1.1,1,5/03/2001,528,Terra,MODIS,46,6.03,299,5.9,D,0,Matale,,
8.1692,79.913,313.7,1,1,5/03/2001,528,Terra,MODIS,58,6.03,301.3,5.4,D,0,Puttalam,,
8.8253,80.4018,308.2,1.4,1.2,6/03/2001,1659,Terra,MODIS,74,6.03,293.2,12.6,N,0,Vavuniya,,
8.8314,80.4024,323.6,1.1,1.1,7/03/2001,515,Terra,MODIS,57,6.03,301.4,17.2,D,0,Vavuniya,,
7.4549,81.5162,314.5,1,1,7/03/2001,516,Terra,MODIS,52,6.03,302.4,4.8,D,0,Ampara,,
6.7077,81.2266,317.1,2.4,1.5,10/03/2001,546,Terra,MODIS,66,6.03,303.2,23.9,D,0,Monaragala,,
7.8252,81.1565,313,2.6,1.6,11/03/2001,451,Terra,MODIS,56,6.03,298.9,23.6,D,0,Polonnaruwa,,
6.7826,81.1651,312.2,1,1,11/03/2001,1716,Terra,MODIS,84,6.03,294.3,10.7,N,0,Monaragala,,
6.7839,81.1744,312.1,1,1,11/03/2001,1716,Terra,MODIS,84,6.03,293.8,10.6,N,0,Monaragala,,
8.8286,80.4056,306.5,1,1,11/03/2001,1717,Terra,MODIS,68,6.03,293.6,6.7,N,0,Vavuniya,,
7.0646,80.5368,314.2,1.2,1.1,12/03/2001,534,Terra,MODIS,61,6.03,301.5,7.7,D,0,Kandy,,25
8.8332,80.4053,323,1.1,1.1,13/03/2001,1704,Terra,MODIS,100,6.03,294.4,25,N,0,Vavuniya,,
7.5149,81.5753,318.2,1,1,14/03/2001,521,Terra,MODIS,63,6.03,303.9,6.7,D,0,Batticaloa,,
8.8299,80.4023,318.2,1,1,14/03/2001,521,Terra,MODIS,56,6.03,307.2,7.8,D,0,Vavuniya,,
8.8286,80.4114,328.4,1,1,14/03/2001,521,Terra,MODIS,80,6.03,308.1,18.7,D,0,Vavuniya,,
7.8254,81.1597,320.5,1,1,14/03/2001,521,Terra,MODIS,65,6.03,305,9.5,D,0,Polonnaruwa,,
7.8164,81.1584,320.2,1,1,14/03/2001,521,Terra,MODIS,51,6.03,307.2,9,D,0,Polonnaruwa,,
7.8265,80.0166,335.8,1,1,14/03/2001,521,Terra,MODIS,85,6.03,308.2,24.8,D,0,Puttalam,,
7.55,81.5247,324.3,1,1,14/03/2001,521,Terra,MODIS,74,6.03,304.5,12.7,D,0,Batticaloa,,
7.5487,81.5338,320.3,1,1,14/03/2001,521,Terra,MODIS,67,6.03,305.3,8.3,D,0,Batticaloa,,
7.4307,80.5867,316,1,1,14/03/2001,521,Terra,MODIS,54,6.03,303.5,6,D,0,Matale,,
6.0839,80.3459,316.7,1,1,14/03/2001,522,Terra,MODIS,60,6.03,303.8,6.9,D,0,Galle,,
7.0372,80.5632,315.9,1,1,14/03/2001,522,Terra,MODIS,60,6.03,302,5.8,D,0,Nuwara Eliya,,
6.3344,80.3303,318.9,1,1,14/03/2001,522,Terra,MODIS,66,6.03,303.4,9.2,D,0,Galle,,
7.4738,81.549,311.4,1.9,1.3,19/03/2001,540,Terra,MODIS,43,6.03,289.4,12.2,D,0,Ampara,,
8.0544,81.3006,318.3,1.1,1.1,21/03/2001,527,Terra,MODIS,63,6.03,305.5,7.9,D,0,Polonnaruwa,,
7.7121,81.3535,317.3,1.1,1.1,21/03/2001,527,Terra,MODIS,51,6.03,304.5,6.9,D,0,Batticaloa,,
7.0393,81.4061,312.7,1.1,1.1,21/03/2001,528,Terra,MODIS,21,6.03,302.2,4.8,D,0,Monaragala,,
8.1155,80.0465,321.7,1.2,1.1,23/03/2001,515,Terra,MODIS,69,6.03,301.4,10,D,0,Puttalam,,
8.0948,80.0265,325.4,1.2,1.1,23/03/2001,515,Terra,MODIS,72,6.03,301.8,14.2,D,0,Puttalam,,
6.8945,81.3885,317.8,1,1,23/03/2001,515,Terra,MODIS,44,6.03,300.1,8.5,D,0,Monaragala,,
8.064,81.2789,327.3,1.4,1.2,28/03/2001,533,Terra,MODIS,78,6.03,299,25.1,D,0,Polonnaruwa,,
8.0658,81.2668,319,1.3,1.2,28/03/2001,533,Terra,MODIS,65,6.03,300.3,11.7,D,0,Polonnaruwa,,
6.756,80.3288,317.2,1.2,1.1,28/03/2001,534,Terra,MODIS,66,6.03,298.6,10.9,D,0,Ratnapura,,
6.7577,80.3178,325,1.2,1.1,28/03/2001,534,Terra,MODIS,77,6.03,299.1,21.4,D,0,Ratnapura,,
6.6821,80.2768,313.5,1.2,1.1,28/03/2001,534,Terra,MODIS,52,6.03,297.5,9.1,D,0,Ratnapura,,
7.6266,81.4457,316.7,1,1,30/03/2001,521,Terra,MODIS,56,6.03,295.5,6.4,D,0,Batticaloa,,
8.8302,80.4015,323.5,1,1,30/03/2001,521,Terra,MODIS,0,6.03,299,12.3,D,0,Vavuniya,,
8.5549,81.1489,319.5,1,1,30/03/2001,521,Terra,MODIS,58,6.03,298,9.3,D,0,Trincomalee,,
7.6361,81.3823,317.9,1,1,30/03/2001,521,Terra,MODIS,36,6.03,293.1,8.3,D,0,Batticaloa,,
6.8523,80.5739,313.8,1,1,30/03/2001,522,Terra,MODIS,47,6.03,297.7,6.1,D,0,Nuwara Eliya,,
8.7836,80.4512,321.8,1.4,1.2,1/04/2001,509,Terra,MODIS,42,6.03,303.8,9.7,D,0,Vavuniya,,
8.7853,80.4388,322.9,1.4,1.2,1/04/2001,509,Terra,MODIS,44,6.03,304.5,12.9,D,0,Vavuniya,,
7.751,80.4757,316.9,1.5,1.2,4/04/2001,539,Terra,MODIS,63,6.03,298.9,9.7,D,0,Kurunegala,,
6.8266,81.7907,319.8,2,1.4,4/04/2001,540,Terra,MODIS,59,6.03,299.6,19.9,D,0,Monaragala,,
6.2607,81.2855,315.5,1.3,1.1,7/04/2001,1657,Terra,MODIS,91,6.03,289,18.4,N,0,Hambantota,,
7.1693,79.8833,314.6,1.4,1.2,20/04/2001,540,Terra,MODIS,0,6.03,297.1,10.9,D,2,Gampaha,,
8.6263,81.1316,310.2,1.3,1.1,9/05/2001,1657,Terra,MODIS,77,6.03,293.8,9.3,N,0,Trincomalee,,
8.5509,81.1315,324.6,1,1,10/05/2001,514,Terra,MODIS,75,6.03,299.7,12.7,D,0,Trincomalee,,
8.6337,81.1304,324.9,1,1,10/05/2001,514,Terra,MODIS,44,6.03,302.5,11.5,D,0,Trincomalee,,
8.6324,81.1398,322.6,1,1,10/05/2001,514,Terra,MODIS,20,6.03,303.5,8.4,D,0,Trincomalee,,
8.0578,81.2971,326.1,1,1,10/05/2001,514,Terra,MODIS,77,6.03,300,15.3,D,0,Polonnaruwa,,
6.4651,81.6139,317.2,1,1,10/05/2001,515,Terra,MODIS,32,6.03,296.4,4.4,D,0,Monaragala,,
8.5852,81.0893,315,2.2,1.4,13/05/2001,545,Terra,MODIS,40,6.03,300.8,17.2,D,0,Trincomalee,,
9.4809,80.4585,308.8,1,1,14/05/2001,1716,Terra,MODIS,63,6.03,297.6,5.8,N,0,Kilinochchi,,
8.6356,81.1193,310.1,1.1,1,14/05/2001,1716,Terra,MODIS,73,6.03,296.5,6.8,N,0,Trincomalee,,
8.6554,81.1569,322.4,1.3,1.1,15/05/2001,532,Terra,MODIS,56,6.03,302.3,12.5,D,0,Trincomalee,,
