date,district,province,adm_level,adm_id,PCODE,n_pixels,vim,vim_avg,viq
1/07/2002,Ampara,Eastern,2,25832,LK52,147,0.65232784,0.6774846,96.54196
11/07/2002,Ampara,Eastern,2,25832,LK52,147,0.63445914,0.66278136,96.02652
21/07/2002,Ampara,Eastern,2,25832,LK52,147,0.6124524,0.64865196,94.81866
1/08/2002,Ampara,Eastern,2,25832,LK52,147,0.5904388,0.6363712,93.30792
11/08/2002,Ampara,Eastern,2,25832,LK52,147,0.5714299,0.62825537,91.62182
21/08/2002,Ampara,Eastern,2,25832,LK52,147,0.5567156,0.6246298,89.93312
1/09/2002,Ampara,Eastern,2,25832,LK52,147,0.5498701,0.6259364,88.74652
11/09/2002,Ampara,Eastern,2,25832,LK52,147,0.5529429,0.6316087,88.45879
21/09/2002,Ampara,Eastern,2,25832,LK52,147,0.5676972,0.6413332,89.348694
1/10/2002,Ampara,Eastern,2,25832,LK52,147,0.5937524,0.65492266,91.32242
11/10/2002,Ampara,Eastern,2,25832,LK52,147,0.62750274,0.67172486,93.87272
21/10/2002,Ampara,Eastern,2,25832,LK52,147,0.6657857,0.69144785,96.53891
1/11/2002,Ampara,Eastern,2,25832,LK52,147,0.701849,0.7117669,98.69804
11/11/2002,Ampara,Eastern,2,25832,LK52,147,0.7317694,0.73052937,100.15887
21/11/2002,Ampara,Eastern,2,25832,LK52,147,0.75676596,0.7484282,101.04427
1/12/2002,Ampara,Eastern,2,25832,LK52,147,0.7766578,0.7646863,101.46946
11/12/2002,Ampara,Eastern,2,25832,LK52,147,0.7903013,0.7780925,101.47432
21/12/2002,Ampara,Eastern,2,25832,LK52,147,0.7964469,0.7872034,101.1041
1/01/2003,Ampara,Eastern,2,25832,LK52,147,0.7952666,0.7897576,100.65602
11/01/2003,Ampara,Eastern,2,25832,LK52,147,0.78852856,0.7852897,100.38774
21/01/2003,Ampara,Eastern,2,25832,LK52,147,0.77730477,0.77488184,100.29373
1/02/2003,Ampara,Eastern,2,25832,LK52,147,0.76197004,0.759934,100.25139
11/02/2003,Ampara,Eastern,2,25832,LK52,147,0.7447116,0.7430054,100.21515
21/02/2003,Ampara,Eastern,2,25832,LK52,147,0.7289408,0.7269567,100.25537
1/03/2003,Ampara,Eastern,2,25832,LK52,147,0.7143496,0.7119265,100.31802
11/03/2003,Ampara,Eastern,2,25832,LK52,147,0.70044285,0.69818074,100.30235
21/03/2003,Ampara,Eastern,2,25832,LK52,147,0.6891755,0.68807447,100.14917
1/04/2003,Ampara,Eastern,2,25832,LK52,147,0.6824952,0.6827995,99.95847
11/04/2003,Ampara,Eastern,2,25832,LK52,147,0.6816775,0.68206924,99.94649
21/04/2003,Ampara,Eastern,2,25832,LK52,147,0.6852306,0.68447405,100.10301
1/05/2003,Ampara,Eastern,2,25832,LK52,147,0.6902728,0.68907744,100.16173
11/05/2003,Ampara,Eastern,2,25832,LK52,147,0.69461226,0.694535,100.01037
